time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2017-05-10,12.92376836,13.05172646,12.77883448,12.92376836,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2299763
2017-05-11,12.88111566,13.09437916,12.79581025,13.06878754,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3080376
2017-05-12,13.09437916,13.50384509,13.07731808,13.29058158,,,,,,,0,0,0,0,,,86.97207926649946,38.305129359549284,0,2,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,972725
2017-05-15,13.25645942,13.45266185,13.22242257,13.41853969,,,,,,,0,0,0,0,,,83.58239827257484,38.305129359549284,0,3,0,,,0,,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,692640
2017-05-16,13.45266185,13.64886427,13.12850132,13.15409294,13.171154022,,,,,,0,0,0,0,,,88.07944341086562,38.305129359549284,0,4,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1235828
2017-05-17,13.19674564,13.36735645,12.82140188,12.87258512,13.071631054666666,,,,,,0,0,0,0,,,80.82127403589689,38.305129359549284,0,5,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1080933
2017-05-18,12.92376836,12.92376836,12.53136351,12.62519945,12.922820519777778,,,,,,0,0,0,0,,,77.19218934841254,42.88344431441926,0,6,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,1413558
2017-05-19,13.00907376,13.05172646,12.36928325,12.82993242,12.891857819851852,,,,,,0,0,0,0,,,84.88433894878447,40.59428683698427,0,7,0,,,0,,0,,,0,,0,2.5,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,5709753
2017-05-22,12.79581025,12.91523782,12.69344377,12.76168809,12.848467909901235,,,,,,0,0,0,0,,,79.22372180485632,39.449708098266775,0,8,0,,,0,,0,,,0,,0,2,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,1,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1442230
2017-05-23,12.75315755,12.80007553,12.66785215,12.79581025,12.830915356600823,,,,,,0,0,0,0,,,76.39341323289224,38.877418728908026,0,9,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,2,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1370187
2017-05-24,12.76168809,12.87258512,12.63372999,12.79581025,12.81921365440055,,,,,,0,0,0,0,,,84.48495089102433,38.591274044228655,0,10,12.36928325,12.36928325,12.36928325,11.7508190875,13.64886427,13.64886427,13.64886427,13.64886427,14.331307483500002,12.36928325,0,1.5,0,0,0.2,0,0,0,50,0,2.0689655077629485,13.64886427,12.36928325,1,1,0,0,8,10,0,0,2048,0,,3,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1953322
2017-05-25,12.77021863,12.82140188,12.62946472,12.66785215,12.768759819600366,,,,,,0,0,0,0,,,88.53071972009036,38.44820170188897,0,11,12.36928325,12.36928325,12.36928325,11.7508190875,13.64886427,13.64886427,,,14.331307483500002,12.36928325,0,0,2,0,0.2,0,0,0,50,0,2.0689655077629485,13.64886427,12.36928325,1,1,0,0,8,10,0,0,2048,0,,4,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2504423
2017-05-26,12.70197431,12.83846296,12.60813837,12.78727971,12.774933116400243,,,,,,0,0,0,0,,,90.55360413462338,38.37666553071912,0,12,12.78727971,12.36928325,12.36928325,12.147915724499999,13.64886427,13.64886427,13.64886427,13.64886427,14.331307483500002,12.36928325,1,0,0,0,0.2,0,0,0,50,0,1.3475650482975152,13.64886427,12.36928325,1,1,0,0,8,10,0,0,2048,0,,5,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2107001
2017-05-30,12.75315755,12.78727971,12.59107729,12.72756593,12.759144054266828,,,,,,0,0,0,0,,,91.5650463418899,38.3408974451342,0,13,12.36928325,12.303722392428572,12.36928325,12.20538110607143,13.64886427,13.64886427,,,13.812766413928571,12.36928325,0,0,2,0,0.2,0,0,0,50,0,7.806981588707273,13.64886427,12.36928325,1,1,0,0,8,10,0,0,2048,0,,6,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1328500
2017-05-31,12.67638269,12.75315755,12.53989405,12.59960783,12.705965312844553,,,,,,0,0,0,0,,,92.07076744552316,38.32301340234174,0,14,12.36928325,12.30535868939796,12.36928325,12.209471848494898,13.64886427,12.92376836,12.883815509623725,12.963721210376276,13.123532611881378,12.36928325,0,1,2,0,0.2,0,0,0,50,0,8.00681933797537,13.64886427,12.36928325,1,1,0,0,8,10,0,0,2048,0,,7,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,15.913670505937752,19.397728497365343,,,,1114308
