time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,15.02548901,15.18893184,14.99642958,15.1489802,15.013073356401565,15.091113202741122,14.672290325436952,14.311192031093602,13.13419115945197,14.485174304842111,0,0,0,0,15.09383146866946,11.411380551092229,94.53784592636873,63.42901034568068,2,7,15.1489802,14.40805299,14.49122535702,14.336012725049999,15.25430374,15.259303790048875,15.2301542399286,15.28845334016915,15.405051540650248,14.49122535702,1,3.5,0,15.340031343293614,0.25336682338313476,0.8833723282209217,0,4.092161540866746,56.627390696274915,0,0.12955443267453756,15.25430374,14.49122535702,0,1,0,0,8,8,2,1,236,0,8,2,,0.6061428786283922,0.8736269242256594,21,3.3592793604003868,0.27458998253500755,,,,,,1.0095560800181016,15.937553357658512,21.825396825396826,12.428977074536759,2,14.175663403121094,27.525959432203802,33.33060813482626,14.49740291694021,,,,944544
2006-12-28,15.14714285,15.42214565,15.05180868,15.3781452,15.134763970934376,15.158316871856275,14.739514599204862,14.35303333183503,13.156519060352945,14.510273910146712,0,0,0,0,15.136405501418347,11.423358939085059,90.47020551997662,52.612397888666905,2,8,15.3781452,14.700925040513317,14.761673079486682,14.62742041531075,,15.42214565,15.391771630513317,15.452519669486682,15.574015747433416,14.5949516574,1,1.5,0,16.886124129458423,0.26554173175840323,1.3111267782625389,0,4.236021952808552,47.762273665386935,0,0,,14.5949516574,0,1,0,0,8,8,2,1,236,0,9,3,,0.9748478269203564,1.2948476776018374,22,2.025514934032347,-0.0015496799011222723,,,,,,0.8733536467139023,17.415913304421903,26.58730158730159,18.685435846531526,2,14.674010488483088,28.972445620663734,36.5575860753652,12.91918493191114,,,,798843
2006-12-29,15.40014543,15.54680996,15.29014431,15.51748359,15.262337177289584,15.254301808586145,14.813606884042494,14.3986980478415,13.180011244727543,14.538827172112788,0,0,0,0,15.197124276176877,11.438947461275236,92.47625344613101,38.13546526913147,2,9,15.51748359,14.61983003929562,14.680822247806601,14.546730889099141,,15.54680996,15.516313855744508,15.57730606425549,15.699290481277457,14.671994200979999,1,0,0,17.734979901534796,0.2766469892442557,1.4681301954654613,0,4.260413693087441,67.69173750082814,0,0,,14.671994200979999,0,1,0,1,8,10,3,1,236,0,10,4,,1.0193322734482093,1.4535789120241056,23,3.347268895742599,-1.121989906598502,,,,,,1.188215570179575,16.486516334792856,23.80952380952381,11.708572565801093,2,14.758505955379206,30.591168840360044,37.46032269498846,11.948360988348963,,,,1011114
2007-01-03,15.51748359,15.5358132,15.29014431,15.35981182,15.294828724859723,15.340349860662334,14.865626401752733,14.436388784004578,13.201700802690453,14.569365191818369,0,0,0,0,15.221556274038893,11.455435271455453,93.55983820900698,29.742951709377778,2,10,14.650614091158138,14.62010280783161,14.681125374484665,14.4980576745255,15.25430374,15.54680996,15.516298676673472,15.577321243326526,15.699366376632637,14.671994200979999,0,2,5,16.347219570903558,0.1217360978545178,0.8893757375621782,0,4.487329790434113,69.2627085954887,0,3.9571567172790187,15.25430374,14.671994200979999,1,1,0,0,8,10,2,1,236,0,11,5,,0.7494030616447348,0.8888043397839142,24,3.389054973911284,-1.298573062553594,,,,,,1.3545558166421796,15.363314527346217,19.047619047619047,-1.1660141748783017,1,15.544566374698569,32.09426897293519,34.76728036178949,11.089387022321924,,,,1121418
2007-01-04,15.40014543,15.40014543,15.15081346,15.34881171,15.312823053239816,15.40706904611385,14.911644050157234,14.472170075220085,13.223065090325374,14.601395041333435,0,0,0,0,15.234608384991871,11.467855147794861,94.84796123810213,29.42091433517237,2,11,14.650614091158138,14.620056006908506,14.68117217540777,14.497823669909973,15.25430374,15.556613242049918,15.526055157800286,15.58717132629955,15.709403663298083,14.671994200979999,0,3.5,0,16.07605048567691,0.12482469687282899,0.7289307597478698,0,3.955591069069758,68.75958264202869,0,3.9510961741596247,15.25430374,14.671994200979999,1,1,0,0,8,10,2,1,236,0,12,6,,0.5561124737108075,0.7384161583996202,25,3.845444832424736,-0.7474489228629584,,,,,,1.0296966962494045,15.029924251721555,18.253968253968253,9.686904701600419,2,13.702569411189025,32.5435309414653,32.234459109536736,14.352536342785461,,,,853424
2007-01-05,15.34881171,15.35981182,15.11047985,15.15814296,15.261263022159877,15.43018907316883,14.935120136808926,14.499070972662434,13.24231959649129,14.633408699048973,0,0,0,0,15.226819904660456,11.480825725517892,96.8872947328889,29.150093957261404,2,12,14.87294627,14.84234472775034,14.90354781224966,14.719938558751704,15.54680996,15.226819904660456,,,15.379827615908752,14.671994200979999,0,0,4,14.467430343671278,0.12122604060724529,0.16003194980421517,0,4.221434594870662,79.88361549736643,0,4.40411587430697,15.54680996,14.671994200979999,1,1,0,0,8,10,3,1,232,0,13,7,,0.21474888066174572,0.17654102270631672,26,5.591431417837139,-0.7616728593712275,,,,,,1.1134021080790504,14.96031641447132,18.253968253968253,2.3034055715558104,2,14.623478398289851,32.69856614547484,29.88949058110221,14.485237065678922,,,,943631
2007-01-08,15.21681036,15.21681036,15.05180868,15.18747687,15.236667638106585,15.423073188630301,14.959154111398552,14.526067282361947,13.26167439523267,14.665347190384987,0,0,0,0,15.223688938865164,11.49185188679742,97.17815069174262,22.554558065186985,2,13,14.87294627,14.843057322911031,14.902835217088969,14.723501534555155,15.54680996,15.223688938865164,,,15.37313367431001,14.671994200979999,0,4.5,0,14.521563547508142,0.12594115107087406,0.17564952457734345,0,4.214550115956778,78.88100205243163,0,4.509116282980058,15.54680996,14.671994200979999,1,1,0,0,8,10,2,1,232,0,14,8,,-0.27369423323124004,0.19879348762373095,27,4.427896790744589,-1.7750402511585148,,,,,,0.9342376202403203,15.656732320309946,21.428571428571427,7.240611347063694,2,14.599629863764886,32.45871466943302,28.416234506604624,15.523911919838334,,,,801013
2007-01-09,15.27180716,15.43681596,15.00047496,15.38181205,15.285049108737724,15.422703436690043,14.999407248408215,14.559625900700693,13.282770292295032,14.6982088646192,0,0,0,0,15.243810883322183,11.51293835757974,98.4157661670295,37.16694320189651,2,14,15.38181205,14.841296345917385,14.904596194082615,14.767089864187799,15.54680996,15.535129025483922,15.503479101401307,15.566778949566537,15.693378645896994,14.671994200979999,1,2,0,15.802740780080828,0.2867914816781819,0.5879091401158808,3,4.284543308478971,73.50483493169352,0,0.2684105337470374,15.54680996,14.671994200979999,0,1,0,0,8,10,2,1,232,0,15,9,,0.36184073292613794,0.6187232941257687,28,5.065466816234926,-0.2600820993398988,,,,,,1.611975081879489,16.317353929112535,24.206349206349206,9.93970658193618,2,14.842093395029657,32.936175305216466,31.12482592209258,13.613018357758937,,,,1467629
2007-01-10,15.31581137,15.43681596,15.24248078,15.43681596,15.335638059158482,15.43428289687662,15.041065220940766,14.594025510869294,13.304203582520952,14.732027087284518,0,0,0,0,15.254978372352367,11.523176868461366,95.74697108717487,37.46242661981434,2,15,15.43681596,14.841821919244715,14.904070620755284,14.767612809648492,15.54680996,15.535099122578243,15.503974771822959,15.566223473333528,15.690720876354668,14.671994200979999,1,3.5,0,16.029613229016373,0.29237028836730405,0.6290538242779744,3,4.278055223578509,55.51065684249901,0,0.1643656338769814,15.54680996,14.671994200979999,0,1,0,0,8,10,2,1,232,0,16,10,,0.7708913296497951,0.6549631577731357,29,3.158716944942431,0.17589196654504902,,,,,,0.7632678312589436,17.587889716607304,29.365079365079364,18.679777745677946,2,14.819618009646817,33.37953160987252,29.38966389654657,12.854113149210354,,,,708294
2007-01-11,15.43314577,15.61281399,15.41480862,15.49914644,15.390140852772321,15.458019265391775,15.084692003708312,14.629520449266577,13.326043809958554,14.767011806194505,0,0,0,0,15.266043711884977,11.531669969490858,96.30152274807654,41.353507999103,2,16,15.49914644,14.609210812970517,14.670548988837474,14.536164758905665,15.54680996,15.53483181288071,15.504162724947232,15.56550090081419,15.688177252548105,14.671994200979999,1,3.5,9.5,16.307185095830818,0.2982025921458208,0.6864434108472203,3,4.217593619166646,63.34545550694504,0,0.0494957702059645,15.54680996,14.671994200979999,0,1,0,0,8,10,2,1,232,0,17,11,,0.4612751699164056,0.7027486202201383,30,4.130338533785871,0.18560920439416173,,,,,,0.6207876711432407,18.90801937886164,36.111111111111114,29.41680806584477,3,14.610172868149865,34.28690998323894,32.81927230444333,12.113143867566455,,,,581091
