time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,12.83378691,12.96045385,12.83378691,12.90924537,12.882654205063647,12.916869825179655,12.83476818570214,12.547053072327289,11.566872350710963,12.973680070409623,0,0,0,0,12.959878950087619,9.771329094682814,54.25931339501888,74.30555300580457,4,3,12.87959992,,,12.799219790802582,13.12485138,12.959878950087619,12.9438968204902,12.975861079685037,13.040660474435475,12.69707405474,0,8.5,5,11.605324054661404,0.05802662027330702,-0.1824259887874851,4,2.4724315967659405,39.441569800081375,0,3.2532797253979386,13.12485138,12.69707405474,1,1,0,0,8,8,2,3,169,0,25,0,,-0.66783339290509,-0.18376989241047287,2,0.3789245755635191,0.8861176540517754,,,,,,0.69446233558046,14.238075987021487,55.15873015873016,66.24033228263677,3,8.56475428767451,31.5708729928445,24.78265354053806,17.11668841800335,,,,485200
2006-12-28,12.8984679,12.9308084,12.84456708,12.84726212,12.870856843375764,12.885292478665372,12.835958084206698,12.55882597615759,11.579612547420306,12.9935512950888,0,0,0,0,12.955488653733061,9.773300443169132,39.88381074448722,85.29409595721401,4,4,12.69707405474,,,12.617978123768697,13.12485138,12.955488653733061,12.939878093035459,12.971099214430664,13.03587665769933,12.69707405474,0,0,4.5,10.947253782356475,0.054736268911782376,-0.526682342221633,4,2.5353399947063315,6.600371074665063,0,3.214591558978067,13.12485138,12.69707405474,1,1,0,0,10,8,2,3,233,0,26,0,,-0.8473327560532822,-0.5239136909489688,3,-0.9889111925607126,4.159031984952216,,,,,,0.5551188990090465,12.30789845211698,44.84126984126984,40.13837393259366,3,8.782675370585547,30.622678266414955,23.560216007565963,16.27238486801708,,,,360200
2006-12-29,12.83917699,12.8661301,12.75832575,12.79066894,12.84412754225051,12.852631455389178,12.831644832377489,12.567917857092587,11.591662859784282,13.011682234003343,0,0,0,0,12.944137470384762,9.776964974037469,43.83516081062484,92.08126691941135,4,5,12.751279330000001,,,12.672064873862942,13.115492877603794,12.79336129,12.77790323051294,12.80881934948706,12.87278615593706,12.6852159863962,0,6.5,6.5,10.34369352110393,0.23021683464894277,-0.8073021311204498,4,2.5883295308998746,6.103788424849313,0,1.3616051135610274,13.115492877603794,12.73676273,1,1,0,1,15,19,2,3,233,0,0,1,,-1.227986936347385,-0.7992742887495443,0,0.3218700354831543,5.780254629768263,,,,,,1.055395116828564,11.485841222622389,43.25396825396825,28.101028918154014,3,8.966236508499001,28.747952352614952,22.09317397759916,20.240436945192542,,,,683400
2007-01-03,12.83109187,12.94697595,12.79336129,12.9173305,12.868528528167007,12.834503253172295,12.83980537215106,12.581620313677192,11.604853582572499,13.02895429930147,0,0,0,0,12.941992614512145,9.781773816060364,47.56895844539157,89.44798809264147,4,6,12.736861424755151,,,12.633389747616224,13.096397276118772,12.941992614512145,12.926243103827733,12.957742125196557,13.022452088269118,12.73676273,0,3.5,0,11.309724057169523,0.2065486202858476,-0.1625650102187631,6,2.7324226184192706,36.16407534219788,0,2.5507236740329704,13.096397276118772,12.73676273,1,1,0,0,10,8,2,3,233,0,1,2,,-0.9527234807184252,-0.15593181372035494,1,0.5094960533702055,2.3328989319540687,,,,,,1.3674319849154664,11.316194115350113,42.857142857142854,19.553389630464235,2,9.465389605705127,27.732358500258407,24.718690372856923,18.446887924510108,,,,863000
2007-01-04,12.9173305,12.94428361,12.83648195,12.92002823,12.885695095444671,12.82985828994892,12.84744564432715,12.594891212356517,11.617939897472276,13.045411566204631,0,0,0,0,12.940810349666304,9.78518692715366,50.87183588372797,88.38104143527374,4,7,12.768833497067552,,,12.68940226912526,13.082954579403179,12.940810349666304,12.925223289209349,12.956397410123259,13.02110146187159,12.764378230596815,0,3.5,0,11.207566436206305,0.20603783218103153,-0.1905421003325754,6,2.6994684721379976,36.47443673481882,0,2.197405344422088,13.082954579403179,12.764378230596815,1,1,0,0,8,8,2,3,233,0,2,3,,-0.6065403628779424,-0.17991330736777084,2,0.6631709414291058,2.392027133203347,,,,,,1.0103238766403768,11.997503819727593,45.63492063492063,28.298628626643062,3,9.351233094346682,26.789307065927325,23.192289297048987,17.307776218001596,,,,613600
2007-01-05,12.71251005,12.91194311,12.63974124,12.65321914,12.808203110296446,12.808308902446754,12.82894788201028,12.597178582068025,11.628241183467576,13.059499278288452,0,0,0,0,12.924769272834588,9.788606060256512,34.66190514896381,58.92025478313494,4,8,12.612230883158684,,,12.51254528437417,13.109362599104315,12.7913420275,12.774365766093544,12.808318288906458,12.876223334532288,12.45888172198,0,0,8,8.814557080134206,0.2648530709896759,-1.5310082506277491,6,3.094391598329642,3.5782004523837543,0,3.916767037924395,13.109362599104315,12.73676273,1,1,0,0,10,8,2,3,233,0,3,4,,-1.5662422847120394,-1.508596814018756,0,-0.40524533161636933,6.805545004530405,,,,,,1.1155470885446865,14.464066228704608,58.73015873015873,34.934966460401704,3,10.71928693364241,25.724199433741653,19.77338863196333,25.10381298188628,,,,673400
2007-01-08,12.62087864,12.62087864,12.52385716,12.53733236,12.71791286019763,12.764731945200865,12.801174975152158,12.59483167139869,11.637286866816158,13.070745475024236,0,0,0,0,12.89614839625744,9.793284239749713,43.306914031032534,30.566498679525257,4,9,12.34975470164,12.332836012655433,12.366673390624568,12.265161256717162,12.7482904488,12.592025556003824,,,12.676619000926662,12.34975470164,0,0,8,7.7341523284979035,0.2663690066384102,-1.9961323742871098,4,3.1356062564921565,12.455360142147455,0,4.711189472464739,12.7482904488,12.34975470164,1,1,0,0,10,8,1,1,225,0,4,5,,-1.6215859599673654,-1.9641135884523997,0,0.08088004924887082,3.5230514411282696,,,,,,1.5703988780535534,14.860000834622788,60.714285714285715,36.806486214016005,3,10.862058697550527,25.538321816445333,18.423484188657305,29.505606811522117,,,,963000
2007-01-09,12.51577203,12.53194228,12.42683567,12.49960178,12.645142500131755,12.703320088003029,12.772453718471,12.591097165853643,11.645867114708535,13.079168941228955,0,0,1,0,12.870475172177867,9.797593521148798,40.930134593773516,29.880117847850244,4,10,12.34975470164,12.333057912850759,12.366451490429242,12.266270757693793,12.7482904488,12.589019734467566,,,12.672503678413774,12.34975470164,0,10.5,6.5,7.330795181521632,0.2307994141914883,-2.0235304066658397,4,3.1313737545598457,8.323143103823668,0,4.773801144526599,12.7482904488,12.563299459418598,1,1,0,0,10,8,1,1,225,0,5,6,,-1.3531635062710412,-1.9913082451621806,0,-0.1663234371335891,4.613668686992856,,,,,,1.4161069612704789,14.543873404980825,59.12698412698413,34.0770837910694,3,10.847396880770734,25.93228747611776,17.334879856020542,32.95038656196614,,,,902400
2007-01-10,12.46456625,12.55350261,12.44569826,12.50498917,12.59842472342117,12.635972788974025,12.746980904330906,12.58772038170252,11.65441559287064,13.085091011399053,0,0,1,0,12.836208780202336,9.804464844243213,73.69834753810831,36.234227357518066,4,11,12.34975470164,12.333288001782133,12.366221401497867,12.267421202350665,12.7482904488,12.586301835028857,,,12.668635334318193,12.34975470164,0,11,8.5,7.298294542110561,0.22382793182829294,-1.8366114114192675,4,3.1377194480918935,26.189944828047665,0,4.8405053908794855,12.7482904488,12.50569091236101,1,1,0,0,8,8,1,1,225,0,6,7,,-1.2986916729419211,-1.808506983185487,0,1.8137981453592564,2.727416433083331,,,,,,2.087374424596856,14.14204332795962,56.34920634920635,30.109027549516505,3,10.869379007984271,26.072545027399734,17.49063659715409,31.024315940097246,,,,1442000
2007-01-11,12.53194228,12.66938669,12.51846707,12.56158773,12.586145725614113,12.579735236986144,12.729324411537487,12.586695571831832,11.663442181299787,13.089083861243292,0,0,0,1,12.828503480393822,9.806617741107605,51.829966212564145,64.28042940585983,4,12,12.467593556144367,,,12.383801846089984,12.7482904488,12.585533666374749,12.568775324363873,12.602292008385625,12.669325376429132,12.467593556144367,0,5,11.5,7.700518721138989,0.22502896982464202,-1.4217871389565968,4,3.158962924040301,6.816514795742243,0,1.4075391247396176,12.7482904488,12.467593556144367,1,1,0,0,8,8,1,1,225,0,7,0,,-1.2922110097515767,-1.401474187697051,0,0.24475540380799155,5.72073599686418,,,,,,0.6337153704523072,14.155192312276393,56.74603174603175,29.354226188117096,3,10.94296856732829,25.08455566154654,22.132776013532702,28.306948269812395,,,,444000
