time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,21.73849337,22.19974611,21.73849337,22.05598688,21.807427017237835,21.564828409096965,22.034136501666012,22.076647148385202,21.050800184811788,22.856747604850156,0,0,0,0,22.258329591459226,19.597307949221715,53.523711226466084,62.39185570481936,4,6,21.62888436943191,,,21.41215140845574,22.54576786,22.112201579770584,22.06885498757535,22.15554817196582,22.328934540746754,21.6913858037,0,3.5,6,4.775052189766431,0.023875260948832154,-0.35275014847034775,4,4.230277138894634,44.14992951905688,0,1.9416325702155286,22.54576786,21.6913858037,1,1,0,0,8,8,1,1,188,0,8,16,,-0.7602652979862653,-0.3537803402288004,1,0.7723772533629174,0.41205679878593937,,,,,,0.9373848706081884,4.163504010047307,5.555555555555555,-71.5881479859614,0,14.654109869325216,25.10813983702133,17.29646330288308,24.66100570063089,,,,2150000
2006-12-28,22.05598688,22.13385371,21.91820588,22.01404936,21.87630113149189,21.573792017301727,22.032223440554965,22.07419233315441,21.060384753719134,22.8408996889583,0,0,0,0,22.253187676572093,19.60200024470011,54.84513393142128,61.589920691290374,4,7,21.317043292700006,21.22669183,21.36710587,21.05798849363199,22.36168637,22.111008266811172,22.06883243271917,22.153184100903175,22.321887437271187,21.55288376254,0,2,5.5,4.528239238898311,0.022641196194491557,-0.4419858109002851,4,4.232349951258843,44.02090965726011,0,2.6466554428001308,22.36168637,21.55288376254,1,1,0,0,8,8,1,1,188,0,9,17,,-0.8662938952037433,-0.4434685418011433,0,0.7705659053104403,0.4045453037478169,,,,,,0.7022077264998838,4.169706137282166,5.9523809523809526,-71.55976007979376,0,14.661290301983954,24.568444067706547,16.50683864953707,23.53517218562099,,,,1616900
2006-12-29,22.01404936,22.14583415,21.89424501,22.0260298,21.92621068766126,21.624627563860166,22.03163357002592,22.07230360636404,21.069993162139838,22.824492260969226,0,0,0,0,22.247744890630248,19.60747670865855,67.84379712515056,65.55239609552264,4,8,22.01404936,21.972639753878855,22.055458966121147,21.80700132939427,22.36168637,22.07230360636404,,,22.27935163696977,21.6913858037,0,5,6.5,4.537432122085551,0.02268716061042776,-0.41333690632075953,4,4.178689573506279,45.15179977873803,0,1.6790162600579654,22.36168637,21.6913858037,1,1,1,0,8,8,1,1,188,0,10,18,,-0.7594972225887486,-0.41354235460898303,0,2.359741295102169,0.919068978063517,,,,,,0.8365978855462043,4.083140037327281,5.158730158730159,-71.79256848084337,0,14.475405300742395,24.146558151357052,15.611398270703626,22.77510296063345,,,,1885700
2007-01-03,22.0260298,22.49326676,22.0260298,22.18177545,22.011398941774175,21.713821164710385,22.04593279669012,22.07659661983996,21.081055672466803,22.80867003395181,0,0,0,1,22.245689195343935,19.615260249024494,78.56848972973953,67.33876926775521,4,9,22.064959920334854,22.022336384650934,22.107583456018773,21.85184224191525,22.54576786,22.326861919056665,,,22.53997959747627,21.6913858037,0,7.5,10,5.221369340487093,0.026106846702435467,-0.09586365838200334,4,4.202434033847726,49.87901343421646,0,2.2560678364677647,22.54576786,21.6913858037,1,1,0,0,8,8,1,1,188,1,11,19,0,-0.23235175315962556,-0.09957560591928234,1,2.928059247663086,0.8946351186112367,,,,,,1.1103020839273103,4.251948876518888,6.746031746031746,-70.79235737353089,0,14.557658524161774,22.56076537633989,21.361289710250745,20.54600043624966,,,,2531300
2007-01-04,22.08593197,22.08593197,21.83434284,21.90623144,21.97634310784945,21.793136354620778,22.032627905576774,22.069915632395258,21.089266376621364,22.791900185339564,0,0,0,0,22.236478456718714,19.621443313677496,72.97185717298055,59.95804875714995,4,10,21.648920724490473,21.55288376254,21.678932275099996,21.382159465356864,22.36168637,22.059521907298468,,,22.272927278777388,21.55288376254,0,6,4,3.8738429720072536,0.01936921486003627,-0.686014778660619,4,3.86303603682706,44.87192316493749,0,2.671923381320274,22.36168637,21.55288376254,1,1,0,0,8,8,1,1,156,1,12,20,1,-0.17790175652685536,-0.684874861253264,0,1.4069405096190906,-0.04242055531386846,,,,,,0.996963696369637,4.398737183210289,7.142857142857143,-67.1293242852219,0,13.381949374507968,21.491421484948663,19.80874296854678,23.06266151786051,,,,2265600
2007-01-05,21.88226458,21.88226458,21.52284554,21.55280262,21.835162945232966,21.823130270743288,21.986930259331366,22.049636690732697,21.093878677550503,22.772347046766374,0,0,0,0,22.21654574148089,19.62719519104596,59.171531918011965,43.68651074713561,4,11,21.350800359250005,21.30774484472535,21.393855873774662,21.135522786626723,21.91294463,21.71292053836222,,,21.972258858098627,21.36710587,0,0,4.5,2.1756261589667503,0.010878130794833752,-1.3749659643479206,4,4.108708100962995,30.208180405280608,0,2.611253294525472,21.91294463,21.36710587,1,1,0,0,8,10,1,1,156,1,13,21,2,-0.35323410040023123,-1.3655120453617389,0,0.19242212684487647,0.6518010577685693,,,,,,1.0844063875104062,4.527940027441687,7.936507936507937,-68.18699053961483,0,14.232982368675486,21.42693887686389,18.233867394968577,27.688713779330367,,,,2507500
2007-01-08,21.46893957,21.66661675,21.33116457,21.60672056,21.759015483488643,21.81881415012944,21.950719811775997,22.032267430703964,21.098981581853483,22.750722766314688,0,0,0,0,22.199605425449356,19.63295591175091,47.40198737517703,62.37893367343848,4,12,21.35807190355001,,,21.07813738322986,22.09753639,21.72401048179574,21.708415339599995,21.8000368,21.971937717520152,21.297194064228943,0,8.5,0,2.4064620189213564,0.012032310094606783,-1.1671850375813635,4,3.895479875509177,20.21184506688083,0,1.7215390488249316,22.09753639,21.297194064228943,1,1,0,0,10,8,1,1,148,1,14,22,3,-0.30442361670474793,-1.1562894906835652,0,-0.3484709294791246,1.7736796824862031,,,,,,1.0588727017326145,4.80191931839856,8.73015873015873,-64.41530312434362,0,13.494338128487957,21.850720928136447,16.96307916256469,29.741361678367348,,,,2457400
2007-01-09,21.60672056,21.65463032,21.26527217,21.37908631,21.632372425659096,21.76465405804286,21.89627852589257,22.006652484794003,21.101768693576332,22.725841638569072,0,0,1,0,22.171637591195033,19.63938730659609,64.47157476106784,46.62610101343563,4,13,21.364322886250008,21.32094090405783,21.407704868442185,21.147412975289118,21.74831345364,21.722809026183675,,,21.939718937144566,21.239886063708017,0,11,1.5,1.3141913384165222,0.006570956692082611,-1.5522568386520292,4,3.9815852259277964,31.540643174600174,0,1.7702767277389593,21.74831345364,21.239886063708017,1,1,1,0,8,8,1,1,148,1,15,23,4,-0.761282000674571,-1.5320752607412413,0,2.4207529033953996,2.7596274311286666,,,,,,1.297969077758813,5.4512566697206655,10.714285714285714,-60.47699186256168,0,13.7926158119451,22.403005914329334,15.603744021879058,28.714190351089027,,,,3121700
2007-01-10,21.38507652,22.00206893,21.343145,21.97211185,21.745618900439396,21.749221465688315,21.903500747236134,22.0052979500962,21.11042882448602,22.701526111095323,0,0,0,0,22.16619120624175,19.646439688976344,85.88394190936751,60.78356454274072,4,14,21.741131241987233,21.69496472343378,21.787297760540685,21.510298649219976,22.36168637,22.01507863766476,,,22.245911230432018,21.55288376254,0,9.5,0,4.08178835531049,0.02040894177655245,-0.23060860263795177,4,4.983132948039429,50.39245513979388,0,2.688334089105254,22.36168637,21.55288376254,1,1,0,0,8,8,1,1,148,1,16,0,5,0.6008664202820502,-0.22058559359263893,1,2.507578468162169,0.4042980021506411,,,,,,1.0431616715913887,5.599292480948979,11.507936507936508,-67.56304663294966,0,17.262078893749543,21.545608208782028,20.334712139511797,25.054985634556488,,,,2570100
2007-01-11,22.01404936,22.32554067,22.01404936,22.18775968,21.89299916029293,21.785298605893946,21.930573026546977,22.01245331205321,21.121148534491137,22.678935216255777,0,0,0,0,22.166820357336285,19.654868607040214,84.7510059669256,65.91185132289164,4,15,22.01885082215824,21.972826297608606,22.064875346707872,21.788728199410073,22.49326676,22.215124252400006,,,22.44524687514817,21.6913858037,0,7.5,6,5.049967542092091,0.025249837710460455,0.1930161090372003,4,5.098144353189559,55.268512297109254,0,2.06157887554123,22.49326676,21.6913858037,1,1,0,0,8,8,1,1,20,1,17,1,6,0.451032013142435,0.2016930031721216,2,3.847381698065746,0.4132893120908187,,,,,,1.1272420821105607,5.5788242626293565,11.11111111111111,-68.41070528166236,0,17.66049008808937,20.283004811659083,25.215708608571205,23.33712160783279,,,,2829000
